file_name,status,num_islands,rows_retained,alert_type,max_gap_before,max_gap_after,clipping_density,features_healed,healing_details,integrity_comment
2023-01-18_BTCUSDT_ob500.data.zip,VALID,2,208,NONE,400.00,0.00,0.0000%,,,Passed
2023-01-28_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-02-05_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-01-19_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-02-04_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-01-24_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-01-27_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-02-11_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0868%,,,Passed
2023-02-09_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0868%,,,Passed
2023-01-23_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-01-20_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0868%,,,Passed
2023-02-02_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-02-07_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-01-29_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-02-08_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-02-12_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0868%,,,Passed
2023-02-03_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-02-14_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-01-22_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-02-15_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-01-31_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-02-06_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-01-26_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-01-30_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-02-10_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-02-01_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-01-25_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-02-13_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0868%,,,Passed
2023-01-21_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0868%,,,Passed
2023-02-16_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-02-17_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-02-19_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-02-20_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-03-04_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-03-02_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-02-22_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-02-23_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-02-27_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-02-24_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-03-01_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.1447%,,,Passed
2023-03-07_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0868%,,,Passed
2023-02-25_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-03-05_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-02-18_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0000%,,,Passed
2023-03-03_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-02-26_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
2023-02-28_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-03-09_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.1157%,,,Passed
2023-02-21_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0579%,,,Passed
2023-03-08_BTCUSDT_ob500.data.zip,VALID,1,288,DEAD_FEATURE,5.00,0.00,0.0289%,,,Passed
2023-03-06_BTCUSDT_ob500.data.zip,VALID,1,288,NONE,5.00,0.00,0.0289%,,,Passed
