file_name,status,num_islands,rows_retained,alert_type,max_gap_before,max_gap_after,clipping_density,features_healed,healing_details,integrity_comment
2026-01-01_BTCUSDT_ob200.data,VALID,1,44412,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-02_BTCUSDT_ob200.data,VALID,1,207754,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-03_BTCUSDT_ob200.data,VALID,1,56531,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-04_BTCUSDT_ob200.data,VALID,1,80168,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-05_BTCUSDT_ob200.data,VALID,1,237612,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-06_BTCUSDT_ob200.data,VALID,1,218536,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-07_BTCUSDT_ob200.data,VALID,1,192442,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-08_BTCUSDT_ob200.data,VALID,1,215256,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-10_BTCUSDT_ob200.data,VALID,1,19144,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-09_BTCUSDT_ob200.data,VALID,1,168247,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-11_BTCUSDT_ob200.data,VALID,1,42923,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-12_BTCUSDT_ob200.data,VALID,1,185456,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-13_BTCUSDT_ob200.data,VALID,1,228657,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-14_BTCUSDT_ob200.data,VALID,1,203355,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-16_BTCUSDT_ob200.data,VALID,1,119243,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-15_BTCUSDT_ob200.data,VALID,1,155090,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-17_BTCUSDT_ob200.data,VALID,1,24527,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-18_BTCUSDT_ob200.data,VALID,1,52180,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-19_BTCUSDT_ob200.data,VALID,1,122156,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-20_BTCUSDT_ob200.data,VALID,1,215955,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-21_BTCUSDT_ob200.data,VALID,1,258794,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-22_BTCUSDT_ob200.data,VALID,1,154009,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-24_BTCUSDT_ob200.data,VALID,1,19041,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-23_BTCUSDT_ob200.data,VALID,1,157160,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-25_BTCUSDT_ob200.data,VALID,1,129199,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-26_BTCUSDT_ob200.data,VALID,1,149755,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-27_BTCUSDT_ob200.data,VALID,1,128987,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-28_BTCUSDT_ob200.data,VALID,1,186464,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-29_BTCUSDT_ob200.data,VALID,1,246393,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-30_BTCUSDT_ob200.data,VALID,1,268621,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-01-31_BTCUSDT_ob200.data,VALID,1,241620,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-01_BTCUSDT_ob200.data,VALID,1,208839,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-02_BTCUSDT_ob200.data,VALID,1,248402,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-03_BTCUSDT_ob200.data,VALID,1,266310,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-04_BTCUSDT_ob200.data,VALID,1,260053,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-05_BTCUSDT_ob200.data,VALID,1,448322,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-06_BTCUSDT_ob200.data,VALID,1,324281,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-07_BTCUSDT_ob200.data,VALID,1,189833,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-08_BTCUSDT_ob200.data,VALID,1,129894,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-09_BTCUSDT_ob200.data,VALID,1,168650,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-10_BTCUSDT_ob200.data,VALID,1,155440,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-11_BTCUSDT_ob200.data,VALID,1,232607,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
2026-02-12_BTCUSDT_ob200.data,VALID,1,218003,HIGH_TAIL_VOL,0.00,0.00,0.0000%,,,Passed
